Identifiant	Mnemonique	Taille	Signature	Masque	Operandes	Registers	Immediates	IT	TreatImm	TreatReg
ADD.Imm.T1	ADD	16	0x1C00	0xFE00	3	2-0:5-3	8-6	1	0	0
ADD.Imm.T2	ADD	16	0x3000	0xF800	2	10-8	7-0	1	0	0
ADD.Imm.T3	ADD	32	0xF1000000	0xFBE08000	3	11-8:19-16	26-26:14-12:7-0	1	1	0
ADD.Imm.T4	ADDW	32	0xF2000000	0xFBF08000	3	11-8:19-16	26-26:14-12:7-0	0	0	0
ADD.Reg.T1	ADD	16	0x1800	0xFE00	3	2-0:5-3:8-6	N	1	0	0
ADD.Reg.T2	ADD	16	0x4400	0xFF00	2	2-0:6-3	N	0	0	1
ADD.Reg.T3	ADD	32	0xEB000000	0xFFE08000	4	11-8:19-16:3-0	14-12:7-6:5-4	1	2	0
B.T1	B	16	0xD000	0xF000	2	N	11-8:7-0	2	3	0
B.T2	B	16	0x1C00	0xF100	1	N	0-10	0	3	0
B.T3	B	32	0xF0008000	0xF800D000	2	N	25-22:26-26:13-13:11-11:21-16:10-0	2	4	0
B.T4	B	32	0xF0009000	0xF800D000	1	N	26-26:13-13:11-11:21-16:10-0	0	4	0
BL.T1	BL	32	0xF000D000	0xF800D000	1	N	26-26:13-13:11-11:21-16:10-0	0	4	0
BX.T1	BX	16	0x4700	0xFF80	1	6-3	N	0	0	0
CMP.Imm.T1	CMP	16	0x2800	0xF800	2	10-8	7-0	0	0	0
CMP.Imm.T2	CMP	32	0xF1B00F00	0xFBF08F00	2	19-16	26-26:14-12:7-0	0	1	0
CMP.Reg.T1	CMP	16	0x4280	0xFFC0	2	2-0:5-3	N	0	0	0
CMP.Reg.T2	CMP	16	0x4500	0xFF00	2	2-0:6-3	N	0	0	1
CMP.Reg.T3	CMP	32	0xEBB00F00	0xFFF00F00	3	19-16:3-0	14-12:7-6:5-4	0	2	0
IT.T1	IT	16	0xBF00	0xFF00	2	N	7-0	3	6	0
LDR.Imm.T1	LDR	16	0x6800	0xF800	3	2-0:5-3	10-6	0	0	0
LDR.Imm.T2	LDR	16	0x9800	0xF800	2	10-8	7-0	0	5	0
LDR.Imm.T3	LDR	32	0xF8D00000	0xFFF00000	3	15-12:19-16	11-0	0	5	0
LDR.Imm.T4	LDR	32	0xF8500800	0xFFF00800	3	15-12:19-16	7-0	0	0	0
LDR.Lit.T1	LDR	16	0x4800	0xF800	2	10-8	7-0	0	5	0
LDR.Lit.T2	LDR	16	0xF85F0000	0xFF7F0000	2	15-12	11-0	0	0	0
MOV.Imm.T1	MOV	16	0x2000	0xF800	2	10-8	7-0	1	0	0
MOV.Imm.T2	MOV	32	0xF04F0000	0xFBEF8000	2	11-8	26-26:14-12:7-0	1	1	0
MOV.Imm.T3	MOVW	32	0xF2400000	0xFBF08000	2	11-8	19-16:26-26:14-12:7-0	0	0	0
MOV.Reg.T1	MOV	16	0x4600	0xFF00	2	2-0:6-3	N	0	0	1
MOV.Reg.T2	MOVS	16	0x0000	0xFFC0	2	2-0:5-3	N	1	0	0
MOV.Reg.T3	MOV	32	0xEA4F0000	0xFFEF70F0	2	11-8:3-0	N	1	0	0
MOVT.T1	MOVT	32	0xF2C00000	0xFBF08000	2	11-8	19-16:26-26:14-12:7-0	0	0	0
MUL.T1	MUL	16	0x4340	0xFFC0	3	2-0:5-3:2-0	N	1	0	0
MUL.T2	MUL	32	0xFB00F000	0xFFF0F0F0	3	11-8:19-16:3-0	N	0	0	0
POP.T1	POP	16	0xBC00	0xFE00	1	7-0	N	0	0	2
POP.T2	POP	32	0xE8BD0000	0xFFFF0000	1	12-0	N	0	0	3
POP.T3	POP	32	0xF85D0B04	0xFFFF0FFF	1	15-12	N	0	0	4
PUSH.T1	PUSH	16	0xB400	0xFE00	1	7-0	N	0	0	5
PUSH.T2	PUSH	32	0xE92D0000	0xFFFF0000	1	12-0	N	0	0	6
PUSH.T3	PUSH	32	0xF84D0D04	0xFFFF0FFF	1	15-12	N	0	0	7
STR.Imm.T1	STR	16	0x6000	0xF800	3	2-0:5-3	10-6	0	5	0
STR.Imm.T2	STR	16	0x9000	0xF800	2	10-8	7-0	0	5	0
STR.Imm.T3	STR	32	0xF8C00000	0xFFF00000	3	15-12:19-16	11-0	0	0	0
STR.Imm.T4	STR	32	0xF8400800	0xFFF00800	3	15-12:19-16	7-0	0	0	0
STR.Reg.T1	STR	16	0x5000	0xFE00	3	2-0:5-3:8-6	N	0	0	0
STR.Reg.T2	STR	32	0xF8400000	0xFFF00FC0	4	15-12:19-16:3-0	5-4	0	0	0
SUB.Imm.T1	SUB	16	0x1E00	0xFE00	3	2-0:5-3	8-6	1	0	0
SUB.Imm.T2	SUB	16	0x3800	0xF800	2	10-8	7-0	1	0	0
SUB.Imm.T3	SUB	32	0xF1A00000	0xFBE08000	3	11-8:19-16	26-26:14-12:7-0	1	1	0
SUB.Imm.T4	SUBW	32	0xF2A00000	0xFBF08000	3	11-8:19-16	26-26:14-12:7-0	0	0	0
SUB.Reg.T1	SUB	16	0x1A00	0xFE00	3	2-0:5-3:8-6	N	1	0	0
SUB.Reg.T2	SUB	32	0xEBA00000	0xFFE00000	4	11-8:19-16:3-0	14-12:7-6:5-4	1	2	0
SVC.T1	SVC	16	0xDF00	0xFF00	1	N	7-0	0	0	0
